1685359770.061975093	 = [0 0 0 0]
1685368461.614724666	 = [0 0 0 1.18682]
1685369295.214667882	 = [0.0872665 0 0 1.18682]
1685369295.254728267	 = [0.139626 0 0 1.18682]
1685369295.294674024	 = [0.20944 0 0 1.18682]
1685369296.334696638	 = [0.994838 0.279253 -0.122173 1.18682]
1685369296.374824504	 = [0.994838 0.366519 -0.15708 1.18682]
1685369296.414728832	 = [0.994838 0.453786 -0.20944 1.18682]
1691690792.389671757	 = [0.780914 -0.183735 -0.516215 0.440016]
1691690799.469729705	 = [0.780914 -0.183735 -0.516215 0.440016]
1691691135.410046988	 = [0.270402 0 0 0]
1691691135.450137453	 = [0.270402 0 0 0]
1691691135.490153974	 = [0.270402 0 0 0]
1691691135.530117776	 = [0.270402 0 0 0]
1691691135.570135756	 = [0.270402 0 0 0]
1691691135.611073973	 = [0.270402 0 0 0]
1691691135.850312113	 = [0.270402 0 0 0]
1691691135.970074693	 = [0.270402 0 0 0]
1691691136.009999027	 = [0.270402 0 0 0]
1691691136.049998361	 = [0.270402 0 0 0]
1691691189.890143960	 = [0.296991 0.263935 -0.230943 0.70007]
1691691190.930054469	 = [0.30202 0.425691 -0.244363 0.70007]
1691691190.970131609	 = [0.299583 0.455149 -0.24438 0.70007]
1691691191.010099943	 = [0.297736 0.477465 -0.244392 0.70007]
1691691191.050163677	 = [0.296841 0.488289 -0.244399 0.70007]
1691694199.614359171	 = [0.200684 0 0 0]
1691694200.534413115	 = [0.200684 0 0 0]
1691694201.254370565	 = [0.200684 0 0 0]
1691694202.854341818	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.636851]
1691694202.894349210	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.669461]
1691694202.934394346	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.6904]
1691694202.974450968	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.699689]
1691694203.014285043	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.700009]
1691694203.054308102	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.70001]
1691694203.094382991	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.70001]
1691694203.134388421	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.70001]
1691694203.174394288	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.70001]
1691694203.214387856	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.70001]
1691694203.254447986	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.70001]
1691694203.294363635	 = [-3.94036e-05 -2.26946e-05 -5.10727e-05 0.70001]
1691694203.334362431	 = [-3.94036e-05 -2.26946e-05 -5.10728e-05 0.70001]
1691694203.374309243	 = [-3.74246e-05 0.00220359 -0.00577648 0.70001]
1691694203.414429738	 = [-2.99281e-05 0.0106365 -0.0274637 0.70001]
1691694204.614362695	 = [5.91535e-05 0.17843 -0.319308 0.70001]
1691694204.654383120	 = [5.11871e-05 0.223177 -0.323385 0.70001]
1691694204.694382475	 = [4.40713e-05 0.263146 -0.327026 0.70001]
1691694204.734441473	 = [3.92564e-05 0.290191 -0.32949 0.70001]
1691694204.774341599	 = [3.59321e-05 0.308864 -0.331191 0.70001]
1691694204.814391724	 = [3.49875e-05 0.314169 -0.331674 0.70001]
